scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_low,2,1,8.706,17,1,1,1,2,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_low,3,1,7.238,13,1,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_low,4,1,7.238,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_high,0,1,8.706,17,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_high,1,1,8.706,17,1,1,1,2,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_high,2,1,11.642,25,1,1,1,6,0,0,7,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_high,3,1,7.238,13,1,1,1,0,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,dir_high,4,1,7.238,13,1,1,1,0,0,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_low,0,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_low,1,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_low,2,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_low,3,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_low,4,1,14.307,13,8,4,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_high,0,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_high,1,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_high,2,1,7.238,13,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_high,3,1,7.238,13,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,sel_high,4,1,9.105,9,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,compound_mid,0,1,10.8101,11,1,1,1,0,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,compound_mid,1,1,26.7339,34,1,1,1,6,3,0,7,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,compound_mid,2,1,13.2847,14,1,1,1,2,3,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,compound_mid,3,1,16.8093,19,1,1,1,2,2,0,3,1,0,task_complete
manual_s1_easy_trial_20260218_143936,s1,easy,manual,prime,compound_mid,4,1,16.5989,13,11,3,1,0,0,5,2,1,0,task_complete
manual_s1_easy_trial_20260218_144100,s1,easy,manual,prime,clean,0,1,3.3,3,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_144100,s1,easy,manual,prime,clean,1,1,3.3,3,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_144100,s1,easy,manual,prime,clean,2,1,3.3,3,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_144100,s1,easy,manual,prime,clean,3,1,3.3,3,1,1,1,0,0,0,0,1,0,task_complete
